instance,algo,seed,phi,nv,dist,fuel,emis,IF,plow,pmed,phigh,lam,runtime,iters,error
C203,GLS,1,"(0.75, 1.0, 1.3)",3,1202.1612897373984,387.7451840106837,1008.1374784277778,0.32254006789337164,6.0968287556068645,66.17975132480984,27.72341991958327,0.34466038429697515,30.383427381515503,14,
C203,GLS,1,"(0.93, 1.0, 1.09)",3,1197.383056137925,376.01197351680247,977.6311311436865,0.31402813960772313,0.0,77.79835646710319,22.201643532896792,0.3609039955405184,31.529694318771362,14,
C203,GLS,1,"(1.0, 1.0, 1.0)",3,1145.2535448055355,348.52363874304615,906.16146073192,0.30432006984289717,15.905026237359335,2.806324416518577,81.2886493461221,0.34773356614299067,31.572067975997925,19,
C203,GLS,2,"(1.0, 1.0, 1.0)",4,1028.7330981886062,292.54089223902815,760.6063198214732,0.28437005940037735,80.56200445697114,0.4956601010088174,18.94233544202002,0.2812335313345909,31.706613779067993,57,
C203,GLS,2,"(0.75, 1.0, 1.3)",4,1121.7556320247404,245.42470162113415,638.1042242149488,0.2187862441823883,94.75173179992186,5.248268200078149,0.0,0.28980522452148894,31.332410097122192,50,
C203,GLS,2,"(0.93, 1.0, 1.09)",4,1111.425940240573,302.37385172130746,786.1720144753995,0.27205937955331266,81.82778264593013,18.172217354069865,0.0,0.29714131566162827,31.815080881118774,32,
C203,GLS,2,"(0.85, 1.0, 1.18)",4,1005.5858833771126,249.45203439241283,648.5752894202734,0.24806636460991752,95.90957404729238,4.090425952707615,0.0,0.3011974692445716,34.223411321640015,45,
C203,GLS,3,"(0.75, 1.0, 1.3)",3,997.333209538855,281.8980472862961,732.9349229443699,0.28265182046493725,23.94831672643658,76.05168327356343,0.0,0.35180996275002935,30.61525297164917,14,
C203,HGLS,1,"(0.85, 1.0, 1.18)",3,1175.0276582334373,392.1497352746435,1019.5893117140731,0.3337365997530732,17.584951912636676,35.35597334480726,47.05907474255608,0.3852221262206242,30.549528121948242,13,
C203,GLS,3,"(0.85, 1.0, 1.18)",3,985.1459822209938,293.5711758583948,763.2850572318265,0.2979976380724244,13.874473170420003,80.42869214184402,5.696834687735963,0.3428950271897643,30.866374492645264,14,
C203,GLS,3,"(0.93, 1.0, 1.09)",3,1036.789764522682,336.0617834356153,873.7606369325998,0.3241368645169175,12.850450721084886,42.279021183325646,44.87052809558945,0.38270804838209654,30.972901344299316,14,
C203,HGLS,1,"(0.75, 1.0, 1.3)",3,1193.4523451408581,409.7181310345202,1065.2671406897525,0.3433049779513089,10.94086706992562,49.927293600153924,39.13183932992045,0.3789714105182941,31.1276798248291,13,
C203,HGLS,1,"(1.0, 1.0, 1.0)",3,1192.48902702325,369.0648625844891,959.5686427196717,0.3094912022006333,20.93096396116414,2.1867546811650596,76.88228135767078,0.36497067400211086,31.850461721420288,15,
C203,HGLS,2,"(1.0, 1.0, 1.0)",3,1175.2657012760671,353.30958176371973,918.6049125856713,0.3006210267006917,13.226363848274802,2.2910542675872256,84.48258188413793,0.33540342233563875,30.745529174804688,60,
C203,GLS,3,"(1.0, 1.0, 1.0)",3,975.9433090208765,302.73865355694,787.120499248044,0.3102010647121144,12.337788179439414,1.3998665356286957,86.26234528493188,0.36733688237371476,32.82257151603699,30,
C203,HGLS,2,"(0.85, 1.0, 1.18)",4,973.598988460531,241.1063065385256,626.8763970001665,0.2476443683654257,83.72926676795309,16.27073323204691,0.0,0.28266067428236236,31.273794889450073,55,
C203,HGLS,1,"(0.93, 1.0, 1.09)",3,1195.6550689722808,371.1971604240123,965.112617102432,0.31045505518834365,6.501159067287867,64.96401010355058,28.534830829161525,0.34587921123012816,33.20775103569031,15,
C203,HGLS,2,"(0.75, 1.0, 1.3)",4,1035.7194373924367,224.81738376421174,584.5251977869506,0.21706398050249961,92.81145649047598,7.18854350952404,0.0,0.28102881457667045,31.838625192642212,48,
C203,HGLS,2,"(0.93, 1.0, 1.09)",4,1048.8332264027845,283.0399815182022,735.9039519473257,0.269861761043701,98.54151659618535,1.4584834038146506,0.0,0.2995499634879909,32.798419713974,27,
